Frame,Running Gait Cycle,Sub Phase,% Cycle,Trunk Lean,Front Knee Angle,Back Knee Angle,Front Hip Angle,Angle Each Body %,Result
1,0,Terminal Stance,100.0%,16.76 (Accurate ),35.88 (Accurate ),74.05 (Accurate ),25.18 (Accurate ),100.0 % ,Good
2,0,Terminal Swing,25.0%,15.21 (Accurate ),62.42 (Inaccurate ),15.72 (Inaccurate ),19.29 (Accurate ),50.0 % ,Satisfactory
3,0,Terminal Swing,33.33%,12.39 (Accurate ),75.79 (Inaccurate ),10.15 (Inaccurate ),13.91 (Accurate ),50.0 % ,Satisfactory
4,1,Terminal Stance,62.5%,12.4 (Accurate ),17.68 (Inaccurate ),104.98 (Accurate ),32.68 (Accurate ),75.0 % ,Good
5,1,Terminal Stance,70.0%,13.42 (Accurate ),61.14 (Accurate ),108.65 (Inaccurate ),39.18 (Accurate ),75.0 % ,Good
6,1,Terminal Stance,75.0%,10.76 (Accurate ),140.89 (Inaccurate ),52.51 (Accurate ),61.96 (Accurate ),75.0 % ,Good
7,1,Terminal Stance,78.57%,7.23 (Accurate ),140.81 (Inaccurate ),25.22 (Inaccurate ),73.08 (Accurate ),50.0 % ,Satisfactory
8,1,Terminal Stance,81.25%,0.13 (Inaccurate ),125.79 (Inaccurate ),9.36 (Inaccurate ),71.94 (Accurate ),25.0 % ,Should Improve
9,1,Terminal Stance,83.33%,-2.16 (Inaccurate ),93.35 (Inaccurate ),22.94 (Inaccurate ),69.84 (Accurate ),25.0 % ,Should Improve
10,1,Terminal Stance,85.0%,-4.23 (Inaccurate ),45.74 (Accurate ),40.36 (Accurate ),60.46 (Accurate ),75.0 % ,Good
11,1,Terminal Stance,81.82%,-3.69 (Inaccurate ),24.67 (Inaccurate ),52.33 (Inaccurate ),56.7 (Accurate ),25.0 % ,Should Improve
12,1,Terminal Stance,79.17%,-2.27 (Inaccurate ),23.48 (Inaccurate ),70.34 (Inaccurate ),49.6 (Accurate ),25.0 % ,Should Improve
13,1,Terminal Stance,76.92%,-2.14 (Inaccurate ),37.21 (Accurate ),82.94 (Inaccurate ),41.24 (Accurate ),50.0 % ,Satisfactory
14,1,Terminal Stance,75.0%,1.13 (Inaccurate ),43.91 (Accurate ),112.23 (Accurate ),28.43 (Accurate ),75.0 % ,Good
15,1,Terminal Stance,73.33%,14.37 (Accurate ),63.38 (Accurate ),141.25 (Inaccurate ),33.45 (Accurate ),75.0 % ,Good
16,1,Terminal Stance,75.0%,19.01 (Accurate ),46.12 (Accurate ),151.13 (Inaccurate ),12.25 (Inaccurate ),50.0 % ,Satisfactory
17,1,Terminal Stance,76.47%,13.33 (Accurate ),21.84 (Inaccurate ),140.21 (Inaccurate ),20.28 (Inaccurate ),25.0 % ,Should Improve
18,1,Terminal Stance,77.78%,6.59 (Accurate ),19.55 (Inaccurate ),119.07 (Inaccurate ),36.36 (Accurate ),50.0 % ,Satisfactory
19,1,Terminal Stance,78.95%,4.95 (Accurate ),37.53 (Accurate ),76.64 (Inaccurate ),35.09 (Accurate ),75.0 % ,Good
20,1,Terminal Stance,80.0%,6.44 (Accurate ),50.73 (Accurate ),38.48 (Accurate ),31.53 (Accurate ),100.0 % ,Good
21,1,Terminal Swing,21.43%,10.3 (Accurate ),63.83 (Inaccurate ),23.78 (Inaccurate ),21.25 (Accurate ),50.0 % ,Satisfactory
22,1,Terminal Swing,22.73%,8.8 (Accurate ),79.1 (Inaccurate ),35.39 (Accurate ),13.97 (Accurate ),75.0 % ,Good
23,2,Terminal Stance,78.26%,12.63 (Accurate ),11.29 (Inaccurate ),78.98 (Inaccurate ),25.66 (Accurate ),50.0 % ,Satisfactory
24,2,Terminal Swing,22.92%,14.15 (Accurate ),128.96 (Accurate ),62.03 (Accurate ),42.4 (Accurate ),100.0 % ,Good
25,3,Terminal Stance,78.0%,11.77 (Accurate ),124.95 (Inaccurate ),50.8 (Accurate ),48.79 (Accurate ),75.0 % ,Good
26,3,Terminal Stance,78.85%,9.06 (Accurate ),138.73 (Inaccurate ),24.57 (Inaccurate ),74.59 (Accurate ),50.0 % ,Satisfactory
27,3,Terminal Stance,79.63%,5.3 (Accurate ),124.57 (Inaccurate ),7.67 (Inaccurate ),78.6 (Inaccurate ),25.0 % ,Should Improve
28,3,Terminal Stance,80.36%,-0.23 (Inaccurate ),89.52 (Inaccurate ),24.9 (Inaccurate ),71.2 (Accurate ),25.0 % ,Should Improve
29,3,Terminal Stance,81.03%,-2.89 (Inaccurate ),42.51 (Accurate ),41.91 (Accurate ),62.06 (Accurate ),75.0 % ,Good
30,3,Terminal Stance,80.0%,-3.3 (Inaccurate ),23.89 (Inaccurate ),58.6 (Inaccurate ),55.28 (Accurate ),25.0 % ,Should Improve
31,3,Terminal Stance,79.03%,-1.39 (Inaccurate ),30.88 (Inaccurate ),75.26 (Inaccurate ),51.65 (Accurate ),25.0 % ,Should Improve
32,3,Terminal Stance,78.12%,0.32 (Inaccurate ),42.0 (Accurate ),83.29 (Inaccurate ),46.19 (Accurate ),50.0 % ,Satisfactory
33,3,Terminal Stance,77.27%,4.07 (Accurate ),52.79 (Accurate ),118.24 (Accurate ),34.66 (Accurate ),100.0 % ,Good
34,3,Terminal Stance,76.47%,14.03 (Accurate ),63.24 (Accurate ),142.83 (Inaccurate ),31.77 (Accurate ),75.0 % ,Good
35,3,Terminal Stance,77.14%,18.28 (Accurate ),47.2 (Accurate ),153.45 (Inaccurate ),10.57 (Inaccurate ),50.0 % ,Satisfactory
36,3,Terminal Stance,77.78%,16.67 (Accurate ),20.49 (Inaccurate ),140.6 (Inaccurate ),17.11 (Inaccurate ),25.0 % ,Should Improve
37,3,Terminal Stance,78.38%,11.86 (Accurate ),25.21 (Inaccurate ),109.92 (Inaccurate ),29.85 (Accurate ),50.0 % ,Satisfactory
38,3,Terminal Stance,78.95%,10.76 (Accurate ),39.4 (Accurate ),65.44 (Accurate ),29.75 (Accurate ),100.0 % ,Good
39,3,Terminal Swing,21.79%,13.22 (Accurate ),52.74 (Inaccurate ),28.11 (Inaccurate ),24.18 (Accurate ),50.0 % ,Satisfactory
40,3,Terminal Swing,22.5%,8.23 (Accurate ),63.3 (Inaccurate ),15.07 (Inaccurate ),27.05 (Accurate ),50.0 % ,Satisfactory
41,3,Terminal Swing,23.17%,7.56 (Accurate ),75.55 (Inaccurate ),25.37 (Inaccurate ),20.61 (Accurate ),50.0 % ,Satisfactory
