Frame,Running Gait Cycle,Sub Phase,% Cycle,Trunk Lean,Front Knee Angle,Back Knee Angle,Front Hip Angle,Angle Each Body %,Result
1,0,Midstance,100.0%,1.04 (Inaccurate ),43.59 (Accurate ),11.59 (Accurate ),16.85 (Accurate ),75.0 % ,Good
2,0,Midstance,75.0%,1.33 (Inaccurate ),41.87 (Accurate ),5.67 (Accurate ),14.83 (Accurate ),75.0 % ,Good
3,0,Initial Contact,33.33%,1.31 (Inaccurate ),20.2 (Accurate ),71.05 (Inaccurate ),11.89 (Inaccurate ),25.0 % ,Should Improve
4,0,Initial Contact,37.5%,1.71 (Inaccurate ),19.06 (Accurate ),80.4 (Inaccurate ),12.18 (Inaccurate ),25.0 % ,Should Improve
5,0,Midstance,60.0%,4.48 (Accurate ),11.28 (Accurate ),61.99 (Accurate ),2.86 (Inaccurate ),75.0 % ,Good
6,0,Midstance,58.33%,4.78 (Accurate ),5.79 (Accurate ),45.64 (Accurate ),5.29 (Inaccurate ),75.0 % ,Good
7,0,Midstance,57.14%,7.76 (Accurate ),16.5 (Accurate ),21.5 (Accurate ),5.38 (Inaccurate ),75.0 % ,Good
8,0,Midstance,56.25%,4.95 (Accurate ),32.7 (Accurate ),7.66 (Accurate ),7.94 (Inaccurate ),75.0 % ,Good
9,0,Midstance,55.56%,5.33 (Accurate ),52.36 (Inaccurate ),6.66 (Accurate ),6.78 (Inaccurate ),50.0 % ,Satisfactory
10,0,Midstance,55.0%,6.1 (Accurate ),57.69 (Inaccurate ),8.0 (Accurate ),5.02 (Inaccurate ),50.0 % ,Satisfactory
11,0,Terminal Swing,4.55%,4.79 (Accurate ),88.87 (Inaccurate ),17.23 (Accurate ),0.65 (Inaccurate ),50.0 % ,Satisfactory
12,0,Terminal Swing,8.33%,2.28 (Inaccurate ),98.19 (Accurate ),8.19 (Accurate ),8.42 (Accurate ),75.0 % ,Good
13,1,Midstance,50.0%,3.8 (Inaccurate ),102.0 (Inaccurate ),14.78 (Accurate ),16.75 (Accurate ),50.0 % ,Satisfactory
14,1,Midstance,53.57%,4.47 (Accurate ),25.87 (Accurate ),46.43 (Inaccurate ),6.14 (Inaccurate ),50.0 % ,Satisfactory
15,1,Midstance,56.67%,3.2 (Inaccurate ),9.07 (Accurate ),33.97 (Accurate ),6.19 (Inaccurate ),50.0 % ,Satisfactory
16,1,Midstance,59.38%,4.39 (Accurate ),2.14 (Inaccurate ),40.34 (Accurate ),6.96 (Inaccurate ),50.0 % ,Satisfactory
17,1,Midstance,58.82%,3.06 (Inaccurate ),19.11 (Accurate ),12.41 (Accurate ),7.12 (Inaccurate ),50.0 % ,Satisfactory
18,1,Initial Contact,33.33%,3.37 (Inaccurate ),7.3 (Accurate ),5.11 (Accurate ),10.53 (Inaccurate ),50.0 % ,Satisfactory
19,1,Initial Contact,34.21%,1.51 (Inaccurate ),6.39 (Accurate ),57.21 (Inaccurate ),12.14 (Inaccurate ),25.0 % ,Should Improve
20,1,Initial Contact,37.5%,3.26 (Inaccurate ),2.49 (Accurate ),3.4 (Accurate ),8.01 (Inaccurate ),50.0 % ,Satisfactory
21,1,Initial Contact,40.48%,3.52 (Inaccurate ),5.32 (Accurate ),5.04 (Accurate ),5.75 (Inaccurate ),50.0 % ,Satisfactory
22,1,Initial Contact,43.18%,3.53 (Inaccurate ),9.45 (Accurate ),6.14 (Accurate ),7.58 (Inaccurate ),50.0 % ,Satisfactory
23,1,Initial Contact,45.65%,4.97 (Accurate ),7.29 (Accurate ),18.54 (Accurate ),0.29 (Inaccurate ),75.0 % ,Good
24,1,Midstance,45.83%,5.4 (Accurate ),5.72 (Accurate ),46.45 (Accurate ),2.97 (Inaccurate ),75.0 % ,Good
25,1,Initial Contact,44.0%,6.09 (Accurate ),7.12 (Accurate ),28.69 (Inaccurate ),6.85 (Inaccurate ),50.0 % ,Satisfactory
26,1,Initial Contact,44.23%,6.03 (Accurate ),8.99 (Accurate ),2.77 (Inaccurate ),9.84 (Inaccurate ),50.0 % ,Satisfactory
27,1,Initial Contact,46.3%,6.73 (Accurate ),0.8 (Accurate ),4.94 (Accurate ),10.82 (Inaccurate ),75.0 % ,Good
28,1,Initial Contact,46.43%,6.55 (Accurate ),1.39 (Accurate ),24.46 (Accurate ),10.27 (Inaccurate ),75.0 % ,Good
29,1,Initial Contact,48.28%,6.41 (Accurate ),15.35 (Accurate ),5.55 (Accurate ),6.65 (Inaccurate ),75.0 % ,Good
30,1,Initial Contact,50.0%,6.24 (Accurate ),4.83 (Accurate ),1.27 (Accurate ),7.74 (Inaccurate ),75.0 % ,Good
31,1,Midstance,40.32%,7.7 (Accurate ),78.58 (Inaccurate ),9.63 (Accurate ),13.2 (Accurate ),75.0 % ,Good
32,1,Midstance,40.62%,7.11 (Accurate ),66.06 (Inaccurate ),7.58 (Accurate ),16.54 (Accurate ),75.0 % ,Good
33,1,Midstance,42.42%,7.3 (Accurate ),27.12 (Accurate ),38.31 (Accurate ),0.03 (Inaccurate ),75.0 % ,Good
34,1,Midstance,44.12%,8.26 (Accurate ),13.85 (Accurate ),39.2 (Accurate ),2.94 (Inaccurate ),75.0 % ,Good
